"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"youtube","https://www.youtube.com/channel/UC0U53m4qjY1WM_30khZrwMA","true","30 3 * * 0","Europe/London","true","","","{""source_name"":""Chasing Sharpe""}"
"youtube","https://www.youtube.com/channel/UC6OOQMJYX09OyrSRPABNxhA","true","35 3 * * 0","Europe/London","true","","","{""source_name"":""Library of Wealth""}"
"youtube","https://www.youtube.com/channel/UCSJx2iNjVaCCPaB8SPU_XXw","true","40 3 * * 0","Europe/London","true","","","{""source_name"":""Epic Economist""}"
"youtube","https://www.youtube.com/channel/UCKXjkaYg4odQWPnwbDjaqYQ","true","45 3 * * 0","Europe/London","true","","","{""source_name"":""AI Upload""}"
"youtube","https://www.youtube.com/channel/UCJjAIBWeY022ZNj_Cp_6wAw","true","50 3 * * 0","Europe/London","true","","","{""source_name"":""The Tesla Space""}"
"youtube","https://www.youtube.com/channel/UCnMku7J_UtwlcSfZlIuQ3Kw","true","55 3 * * 0","Europe/London","true","","","{""source_name"":""Dan Gambardello""}"
"youtube","https://www.youtube.com/channel/UCORX3Cl7ByidjEgzSCgv9Yw","true","0 4 * * 0","Europe/London","true","","","{""source_name"":""Anastasi In Tech""}"
"youtube","https://www.youtube.com/channel/UC0vZSXQHRGPNZMFAKPLJcww","true","5 4 * * 0","Europe/London","true","","","{""source_name"":""Sahil Bloom""}"
"youtube","https://www.youtube.com/channel/UCGy7SkBjcIAgTiwkXEtPnYg","true","10 4 * * 0","Europe/London","true","","","{""source_name"":""Andrei Jikh""}"
"youtube","https://www.youtube.com/channel/UCldfgbzNILYZA4dmDt4Cd6A","true","15 4 * * 0","Europe/London","true","","","{""source_name"":""Secular Talk""}"
"youtube","https://www.youtube.com/channel/UCXcRxmZkDGP0_sBGTFTF-Bw","true","20 4 * * 0","Europe/London","true","","","{""source_name"":""InfoTechRG""}"
"youtube","https://www.youtube.com/channel/UCRnUO-S4Nh5BgF-Vg43QvBQ","true","25 4 * * 0","Europe/London","true","","","{""source_name"":""The Real Anthony Scaramucci""}"
"youtube","https://www.youtube.com/channel/UCilMYYyoot7vhLn4Tinzmmg","true","30 4 * * 0","Europe/London","true","","","{""source_name"":""Mo Gawdat Official""}"
"youtube","https://www.youtube.com/channel/UC3cVCT_ohbH48zmH0bLd7Gg","true","35 4 * * 0","Europe/London","true","","","{""source_name"":""electric-future""}"
"youtube","https://www.youtube.com/channel/UConJDkGk921yT9hISzFqpzw","true","40 4 * * 0","Europe/London","true","","","{""source_name"":""Freethink""}"
"youtube","https://www.youtube.com/channel/UCAJCDTBxmvPbNAIhQULVr6g","true","45 4 * * 0","Europe/London","true","","","{""source_name"":""kate cassidy""}"
"youtube","https://www.youtube.com/channel/UCEENWVBdvDy-QWfuQoXC9HQ","true","50 4 * * 0","Europe/London","true","","","{""source_name"":""AISpecies""}"
"youtube","https://www.youtube.com/channel/UC9ZM3N0ybRtp44-WLqsW3iQ","true","55 4 * * 0","Europe/London","true","","","{""source_name"":""Mark Moss""}"
"youtube","https://www.youtube.com/channel/UCiJiqEvUZxT6isIaXK7RXTg","true","0 5 * * 0","Europe/London","true","","","{""source_name"":""Charles Hoskinson""}"
"youtube","https://www.youtube.com/channel/UCshwRhftzkiov5wKR7M_LsQ","true","5 5 * * 0","Europe/London","true","","","{""source_name"":""The Independent""}"
"youtube","https://www.youtube.com/channel/UCozOzfZ0MgqLT_TA7hbNh4g","true","10 5 * * 0","Europe/London","true","","","{""source_name"":""bytefederal""}"
"youtube","https://www.youtube.com/channel/UCGyqEtcGQQtXyUwvcy7Gmyg","true","15 5 * * 0","Europe/London","true","","","{""source_name"":""Altcoin Buzz""}"
"youtube","https://www.youtube.com/channel/UC8Su5vZCXWRag13H53zWVwA","true","20 5 * * 0","Europe/London","true","","","{""source_name"":""TIME""}"
"youtube","https://www.youtube.com/channel/UCPqdLq_9rd9SSSqIuPxcDdg","true","25 5 * * 0","Europe/London","true","","","{""source_name"":""Alex Bennett""}"
"youtube","https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww","true","30 5 * * 0","Europe/London","true","","","{""source_name"":""Tina Huang""}"
"youtube","https://www.youtube.com/channel/UCFYSm56LGxS7Nx6Zck5c7ig","true","35 5 * * 0","Europe/London","true","","","{""source_name"":""Daily Dose Crypto""}"
"youtube","https://www.youtube.com/channel/UCzrWKkFIRS0kjZf7x24GdGg","true","40 5 * * 0","Europe/London","true","","","{""source_name"":""Peter McCormack""}"
"youtube","https://www.youtube.com/channel/UCDZfn935vwaahDabsfylfIQ","true","45 5 * * 0","Europe/London","true","","","{""source_name"":""AI News""}"
"youtube","https://www.youtube.com/channel/UCHuiy8bXnmK5nisYHUd1J5g","true","50 5 * * 0","Europe/London","true","","","{""source_name"":""NVIDIA""}"
"youtube","https://www.youtube.com/channel/UCNYaxPiba3oxmeL_3jKxnYA","true","55 5 * * 0","Europe/London","true","","","{""source_name"":""Insane Curiosity""}"
"youtube","https://www.youtube.com/channel/UC_d_dGoi2ztmAgiDwRh3uJw","true","0 6 * * 0","Europe/London","true","","","{""source_name"":""Sanctuary AI""}"
"youtube","https://www.youtube.com/channel/UCmfY1G9QOaAbWbDn_U_i20A","true","5 6 * * 0","Europe/London","true","","","{""source_name"":""Tesla Owners SV""}"
"youtube","https://www.youtube.com/channel/UC-q5vNvj81OmWK0pzaLB-kg","true","10 6 * * 0","Europe/London","true","","","{""source_name"":""Sprouht""}"
"youtube","https://www.youtube.com/channel/UCOFl0wDeBMSBbK3jNJQHHFg","true","15 6 * * 0","Europe/London","true","","","{""source_name"":""AICopium""}"
"youtube","https://www.youtube.com/channel/UCawZsQWqfGSbCI5yjkdVkTA","true","20 6 * * 0","Europe/London","true","","","{""source_name"":""Matthew Berman""}"
"youtube","https://www.youtube.com/channel/UCV-a-2sT_5z9bt5lktscUdQ","true","25 6 * * 0","Europe/London","true","","","{""source_name"":""Colossal""}"
"youtube","https://www.youtube.com/channel/UC9ijza42jVR3T6b8bColgvg","true","30 6 * * 0","Europe/London","true","","","{""source_name"":""Kitco News""}"
"youtube","https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ","true","35 6 * * 0","Europe/London","true","","","{""source_name"":""The Bulwark""}"
"youtube","https://www.youtube.com/channel/UCtKPFtUPf6ol9Lw4XvX4iQQ","true","40 6 * * 0","Europe/London","true","","","{""source_name"":""OnlyTheSAVVY""}"
"youtube","https://www.youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w","true","45 6 * * 0","Europe/London","true","","","{""source_name"":""TheRichest""}"
"youtube","https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew","true","50 6 * * 0","Europe/London","true","","","{""source_name"":""Yannic Kilcher""}"
"youtube","https://www.youtube.com/channel/UCB-5u8VgFc_TI1aAj8_SmDA","true","55 6 * * 0","Europe/London","true","","","{""source_name"":""Richard D Wolff""}"
"youtube","https://www.youtube.com/channel/UCVxMczuT0gNVXxCHS7LcZDQ","true","0 7 * * 0","Europe/London","true","","","{""source_name"":""MoneyTalks101""}"
"youtube","https://www.youtube.com/channel/UClgJyzwGs-GyaNxUHcLZrkg","true","5 7 * * 0","Europe/London","true","","","{""source_name"":""InvestAnswers""}"
"youtube","https://www.youtube.com/channel/UCpdyFxSktWo3W6kMYfmk6lg","true","10 7 * * 0","Europe/London","true","","","{""source_name"":""dylan_curious""}"
"youtube","https://www.youtube.com/channel/UCiEKV_MOhwZ7OEcgFyLKilw","true","15 7 * * 0","Europe/London","true","","","{""source_name"":""Theo Von Clips""}"
"youtube","https://www.youtube.com/channel/UCz6RzD6KG_hH_oHb2kyW5jQ","true","20 7 * * 0","Europe/London","true","","","{""source_name"":""Morgan Stanley""}"
"youtube","https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q","true","25 7 * * 0","Europe/London","true","","","{""source_name"":""TEDx Talks""}"
"youtube","https://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","true","30 7 * * 0","Europe/London","true","","","{""source_name"":""Lex Fridman""}"
"youtube","https://www.youtube.com/channel/UC_gUM8rL-Lrg6O3adPW9K1g","true","35 7 * * 0","Europe/London","true","","","{""source_name"":""WION""}"
"youtube","https://www.youtube.com/channel/UCl4takhOQtiyprismCPsa2Q","true","40 7 * * 0","Europe/London","true","","","{""source_name"":""Swan Bitcoin""}"
